id_agent,annee,duree,id_formation
54.0,2022,30,547
60.0,2022,30,553
62.0,2022,30,554
63.0,2022,30,555
64.0,2022,30,556
66.0,2022,30,557
70.0,2022,30,558
71.0,2022,30,559
72.0,2022,30,560
73.0,2022,60,561
75.0,2022,30,562
81.0,2022,30,568
82.0,2022,30,569
84.0,2022,30,570
86.0,2022,30,571
6.0,2023,2023,583
,2023,Durée,584
8.0,2023,30,586
10.0,2023,30,587
11.0,2023,30,588
12.0,2023,30,589
15.0,2023,30,590
16.0,2023,30,591
21.0,2023,30,598
22.0,2023,30,599
23.0,2023,30,600
27.0,2023,30,601
28.0,2023,30,602
29.0,2023,30,603
30.0,2023,30,604
33.0,2023,30,610
38.0,2023,30,611
49.0,2023,30,624
50.0,2023,30,625
51.0,2023,30,626
52.0,2023,30,627
54.0,2023,30,628
55.0,2023,30,629
58.0,2023,30,635
60.0,2023,30,636
65.0,2023,30,637
70.0,2023,30,638
71.0,2023,30,639
72.0,2023,30,640
76.0,2023,30,641
77.0,2023,30,642
83.0,2023,30,648
86.0,2023,30,649
93.0,2023,30,655
6.0,2024,2024,662
,2024,Durée,663
9.0,2024,30,665
12.0,2024,30,666
13.0,2024,30,667
14.0,2024,30,668
15.0,2024,30,669
16.0,2024,30,670
17.0,2024,30,671
19.0,2024,30,672
21.0,2024,30,678
24.0,2024,30,679
25.0,2024,30,680
26.0,2024,30,681
33.0,2024,30,687
34.0,2024,30,688
36.0,2024,30,689
37.0,2024,30,690
39.0,2024,30,691
50.0,2024,30,705
51.0,2024,30,706
53.0,2024,30,707
55.0,2024,30,708
58.0,2024,30,714
59.0,2024,30,715
61.0,2024,30,716
63.0,2024,30,717
64.0,2024,30,718
65.0,2024,30,719
66.0,2024,30,720
67.0,2024,30,721
69.0,2024,30,722
70.0,2024,30,723
73.0,2024,30,724
74.0,2024,30,725
75.0,2024,30,726
77.0,2024,30,727
82.0,2024,30,733
83.0,2024,30,734
84.0,2024,30,735
85.0,2024,30,736
89.0,2024,30,742
6.0,2025,2025,749
,2025,Durée,750
8.0,2025,30,752
9.0,2025,30,753
10.0,2025,30,754
11.0,2025,30,755
13.0,2025,30,756
14.0,2025,30,757
16.0,2025,30,758
18.0,2025,60,759
19.0,2025,30,760
22.0,2025,30,767
24.0,2025,30,768
25.0,2025,30,769
26.0,2025,30,770
27.0,2025,30,771
28.0,2025,30,772
29.0,2025,30,773
30.0,2025,30,774
32.0,2025,30,780
37.0,2025,30,781
49.0,2025,30,794
52.0,2025,30,795
54.0,2025,30,796
60.0,2025,30,802
62.0,2025,60,803
63.0,2025,30,804
64.0,2025,30,805
66.0,2025,30,806
68.0,2025,30,807
69.0,2025,30,808
71.0,2025,30,809
72.0,2025,30,810
73.0,2025,30,811
75.0,2025,30,812
76.0,2025,30,813
78.0,2025,30,814
81.0,2025,30,820
82.0,2025,30,821
84.0,2025,30,822
85.0,2025,30,823
86.0,2025,30,824
89.0,2025,30,830
6.0,2026,2026,838
,2026,Durée,839
8.0,2026,30,841
10.0,2026,30,842
11.0,2026,30,843
12.0,2026,30,844
13.0,2026,30,845
15.0,2026,30,846
16.0,2026,30,847
17.0,2026,30,848
19.0,2026,30,849
21.0,2026,30,856
22.0,2026,30,857
23.0,2026,30,858
25.0,2026,30,859
27.0,2026,30,860
28.0,2026,30,861
29.0,2026,30,862
30.0,2026,30,863
33.0,2026,30,869
36.0,2026,30,870
38.0,2026,30,871
39.0,2026,30,872
49.0,2026,30,887
50.0,2026,30,888
51.0,2026,30,889
52.0,2026,30,890
54.0,2026,30,891
55.0,2026,30,892
58.0,2026,30,898
60.0,2026,30,899
61.0,2026,30,900
65.0,2026,30,901
68.0,2026,30,902
69.0,2026,30,903
70.0,2026,30,904
71.0,2026,30,905
72.0,2026,30,906
